district,year,area (000 acres),production (000 tons),yield (mds/acre),area (000 hectares),yield (kg/hectare),source_file
Kasur,2021-22,60.0,,568.0,24.28,,Final Kharif Estimates 2021-22
Khanewal,2021-22,18.0,,700.0,7.28,,Final Kharif Estimates 2021-22
Khushab,2021-22,18.0,,592.0,7.28,,Final Kharif Estimates 2021-22
LAHORE DIV:,2021-22,95.0,,591.0,38.45,,Final Kharif Estimates 2021-22
Lahore,2021-22,2.0,,617.0,0.81,,Final Kharif Estimates 2021-22
Layyah,2021-22,44.0,,645.0,17.81,,Final Kharif Estimates 2021-22
Lodhran,2021-22,12.0,,760.0,4.86,,Final Kharif Estimates 2021-22
M.B.Din,2021-22,65.0,,552.0,26.3,,Final Kharif Estimates 2021-22
MULTAN DIV:,2021-22,85.0,,705.0,34.4,,Final Kharif Estimates 2021-22
Mianwali,2021-22,13.0,,679.0,5.26,,Final Kharif Estimates 2021-22
Multan,2021-22,10.0,,675.0,4.05,,Final Kharif Estimates 2021-22
Muzaffargarh,2021-22,,,733.0,52.61,,Final Kharif Estimates 2021-22
Muzzafargargh,2021-22,130.0,,,,,Final Kharif Estimates 2021-22
NORTH PUNJAB,2021-22,1142.0,,697.0,462.13,,Final Kharif Estimates 2021-22
Nankana Sahib,2021-22,26.0,,635.0,10.53,,Final Kharif Estimates 2021-22
Narowal,2021-22,4.0,,368.0,1.62,,Final Kharif Estimates 2021-22
Okara,2021-22,32.0,,780.0,12.95,,Final Kharif Estimates 2021-22
Pakpattan,2021-22,5.0,,558.0,2.02,,Final Kharif Estimates 2021-22
R.Y. Khan,2021-22,491.0,,886.0,198.69,,Final Kharif Estimates 2021-22
Rajan Pur,2021-22,135.0,,807.0,54.63,,Final Kharif Estimates 2021-22
SAHIWAL DIV:,2021-22,47.0,,717.0,19.02,,Final Kharif Estimates 2021-22
SARGODHA DIV:,2021-22,278.0,,728.0,112.5,,Final Kharif Estimates 2021-22
SOUTH PUNJAB,2021-22,1006.0,,805.0,407.12,,Final Kharif Estimates 2021-22
Sahiwal,2021-22,10.0,,595.0,4.05,,Final Kharif Estimates 2021-22
Sargodha,2021-22,160.0,,744.0,64.75,,Final Kharif Estimates 2021-22
Sheikhupura,2021-22,7.0,,612.0,2.83,,Final Kharif Estimates 2021-22
Sialkot,2021-22,6.0,,539.0,2.43,,Final Kharif Estimates 2021-22
T.T. Singh,2021-22,96.0,,685.0,38.85,,Final Kharif Estimates 2021-22
THE PUNJAB,2021-22,2148.0,,748.0,869.25,,Final Kharif Estimates 2021-22
Vehari,2021-22,45.0,,699.0,18.21,,Final Kharif Estimates 2021-22
BAHAWALPUR DIV:,2022-23,631.0,20088.0,796.0,255.35,78669.0,Final Kharif Estimates 2022-23
Bahawalnagar,2022-23,38.0,1100.0,724.0,15.38,71563.0,Final Kharif Estimates 2022-23
Bahawalpur,2022-23,58.0,1482.0,639.0,23.47,63161.0,Final Kharif Estimates 2022-23
Bhakkar,2022-23,109.0,2860.0,656.0,44.11,64842.0,Final Kharif Estimates 2022-23
Chiniot,2022-23,168.0,4953.0,737.0,67.99,72848.0,Final Kharif Estimates 2022-23
D.G. KHAN DIV:,2022-23,346.0,9962.0,720.0,140.02,71145.0,Final Kharif Estimates 2022-23
D.G. Khan,2022-23,24.0,712.0,742.0,9.71,73342.0,Final Kharif Estimates 2022-23
FAISALABAD DIV:,2022-23,719.0,20688.0,719.0,290.97,71100.0,Final Kharif Estimates 2022-23
Faisalabad,2022-23,226.0,6409.0,709.0,91.46,70080.0,Final Kharif Estimates 2022-23
GUJRANWALA DIV:,2022-23,15.0,319.0,532.0,6.07,52612.0,Final Kharif Estimates 2022-23
GUJRAT DIV:,2022-23,81.0,1837.0,567.0,32.78,56056.0,Final Kharif Estimates 2022-23
Gujranwala,2022-23,2.0,45.0,560.0,0.81,55353.0,Final Kharif Estimates 2022-23
Gujrat,2022-23,7.0,120.0,429.0,2.83,42404.0,Final Kharif Estimates 2022-23
Hafizabad,2022-23,12.0,396.0,824.0,4.86,81447.0,Final Kharif Estimates 2022-23
Jhang,2022-23,235.0,6806.0,724.0,95.1,71563.0,Final Kharif Estimates 2022-23
Kasur,2022-23,58.0,1329.0,573.0,23.47,56638.0,Final Kharif Estimates 2022-23
Khanewal,2022-23,16.0,473.0,739.0,6.47,73046.0,Final Kharif Estimates 2022-23
Khushab,2022-23,17.0,375.0,552.0,6.88,54562.0,Final Kharif Estimates 2022-23
LAHORE DIV:,2022-23,97.0,2322.0,599.0,39.25,59160.0,Final Kharif Estimates 2022-23
Lahore,2022-23,1.0,24.0,606.0,0.4,59899.0,Final Kharif Estimates 2022-23
Layyah,2022-23,45.0,1147.0,637.0,18.21,62964.0,Final Kharif Estimates 2022-23
Lodhran,2022-23,9.0,327.0,909.0,3.64,89849.0,Final Kharif Estimates 2022-23
M.B.Din,2022-23,62.0,1322.0,533.0,25.09,52684.0,Final Kharif Estimates 2022-23
MULTAN DIV:,2022-23,77.0,2266.0,736.0,31.16,72735.0,Final Kharif Estimates 2022-23
Mianwali,2022-23,14.0,392.0,700.0,5.67,69191.0,Final Kharif Estimates 2022-23
Multan,2022-23,10.0,260.0,650.0,4.05,64249.0,Final Kharif Estimates 2022-23
Muzzafargargh,2022-23,145.0,4159.0,717.0,58.68,70871.0,Final Kharif Estimates 2022-23
NORTH PUNJAB,2022-23,1264.0,34616.0,685.0,511.5,67674.0,Final Kharif Estimates 2022-23
Nankana Sahib,2022-23,32.0,829.0,648.0,12.95,64051.0,Final Kharif Estimates 2022-23
Narowal,2022-23,5.0,86.0,432.0,2.02,42701.0,Final Kharif Estimates 2022-23
Okara,2022-23,28.0,1150.0,1027.0,11.33,101513.0,Final Kharif Estimates 2022-23
PUNJAB,2022-23,2318.0,66932.0,722.0,938.0,71354.0,Final Kharif Estimates 2022-23
Pakpattan,2022-23,5.0,122.0,611.0,2.02,60394.0,Final Kharif Estimates 2022-23
Rahim Yar Khan,2022-23,535.0,17505.0,818.0,216.5,80854.0,Final Kharif Estimates 2022-23
Rajan Pur,2022-23,132.0,3944.0,747.0,53.42,73836.0,Final Kharif Estimates 2022-23
SAHIWAL DIV:,2022-23,42.0,1504.0,895.0,16.99,88484.0,Final Kharif Estimates 2022-23
SARGODHA DIV:,2022-23,310.0,7946.0,641.0,125.45,63336.0,Final Kharif Estimates 2022-23
SOUTH PUNJAB,2022-23,1054.0,32316.0,767.0,426.5,75766.0,Final Kharif Estimates 2022-23
Sahiwal,2022-23,9.0,231.0,643.0,3.64,63557.0,Final Kharif Estimates 2022-23
Sargodha,2022-23,170.0,4318.0,635.0,68.79,62766.0,Final Kharif Estimates 2022-23
Sheikhupura,2022-23,6.0,139.0,580.0,2.43,57330.0,Final Kharif Estimates 2022-23
Sialkot,2022-23,8.0,188.0,588.0,3.24,58120.0,Final Kharif Estimates 2022-23
T.T. Singh,2022-23,90.0,2520.0,700.0,36.42,69191.0,Final Kharif Estimates 2022-23
Vehari,2022-23,42.0,1206.0,718.0,17.0,70970.0,Final Kharif Estimates 2022-23
BAHAWALPUR DIV:,2023-24,581.0,21034.4,905.1,235.12,89464.0,Final Kharif Estimates 2023-24
Bahawalnagar,2023-24,26.0,798.7,768.0,10.52,75912.0,Final Kharif Estimates 2023-24
Bahawalpur,2023-24,47.0,1419.4,755.0,19.02,74627.0,Final Kharif Estimates 2023-24
Bhakkar,2023-24,103.0,2908.7,706.0,41.68,69784.0,Final Kharif Estimates 2023-24
Chiniot,2023-24,149.0,4565.4,766.0,60.3,75715.0,Final Kharif Estimates 2023-24
D.G. KHAN DIV:,2023-24,312.0,10372.8,831.15,126.26,82154.0,Final Kharif Estimates 2023-24
D.G. Khan,2023-24,15.0,489.0,815.0,6.07,80558.0,Final Kharif Estimates 2023-24
FAISALABAD DIV:,2023-24,578.0,17778.2,768.96,233.91,76007.0,Final Kharif Estimates 2023-24
Faisalabad,2023-24,196.0,6091.7,777.0,79.32,76802.0,Final Kharif Estimates 2023-24
GUJRANWALA DIV:,2023-24,9.5,186.0,489.37,3.84,48371.0,Final Kharif Estimates 2023-24
GUJRAT DIV:,2023-24,67.5,1653.5,612.42,27.32,60534.0,Final Kharif Estimates 2023-24
Gujranwala,2023-24,0.5,10.6,532.0,0.2,52585.0,Final Kharif Estimates 2023-24
Gujrat,2023-24,6.0,116.2,486.0,2.43,48038.0,Final Kharif Estimates 2023-24
Hafizabad,2023-24,9.0,224.6,624.0,3.64,61679.0,Final Kharif Estimates 2023-24
Jhang,2023-24,165.0,5108.4,774.0,66.77,76505.0,Final Kharif Estimates 2023-24
Kasur,2023-24,47.0,,,19.02,56736.0,Final Kharif Estimates 2023-24
Khanewal,2023-24,11.0,352.4,801.0,4.45,79174.0,Final Kharif Estimates 2023-24
Khushab,2023-24,12.0,237.1,494.0,4.86,48829.0,Final Kharif Estimates 2023-24
Kot Addu,2023-24,91.0,3163.2,869.0,36.83,85895.0,Final Kharif Estimates 2023-24
LAHORE DIV:,2023-24,75.0,1820.9,606.96,30.35,59994.0,Final Kharif Estimates 2023-24
Lahore,2023-24,0.0,1079.1,574.0,0.0,0.0,Final Kharif Estimates 2023-24
Layyah,2023-24,50.0,1320.0,660.0,20.23,65237.0,Final Kharif Estimates 2023-24
Lodhran,2023-24,8.0,289.9,906.0,3.24,89553.0,Final Kharif Estimates 2023-24
